,id,text_tweet,sentiment_score,sentiment_label,sentiment_language,user_profile
1387,1289928914890969088,"Coisa mais boa comprar roupa baratinha, eu amo",0.991783,positive,pt,handstomysflz
1403,1289930830958092293,"minha mae: filha estende a roupa, afina a guitarra, tira pó da casa e vai comprar carne pro almoço te amo😍😘

eu: 🤡 ta ne",0.88813,positive,pt,garelaa1
1432,1289935951330852864,"Cara doei muita roupa minha, dps da gravidez vou comprar bastante roupa p mim!!!",0.85841,positive,pt,larisssslima
1452,1289939566023995395,"Melhor coisa é tu ter seu dinheiro, ontem fui com minha mãe comprar umas roupa cm uma amiga dela lá, comprei logo foi 5 blusa e 5 calça, to juntando meu dinheiro pra dar o melhor pro amor da minha vida, no caso, EU MESMO!",0.979976,positive,pt,Duarda_goncalvs
1462,1289940604189736960,"tem umas roupas que eu quero muito comprar, mas ai eu fico pensando que eu não teria uma oportunidade de usar uma roupa tão linda assim",0.806735,positive,pt,gxsspgirl
1478,1289942525239635968,"RT @Brum_fernandaa: comprar roupa da uma paz tão grande, amo demais 🥰",0.994877,positive,pt,L2bjs
1487,1289944503982252032,"Roupa lavada, casa arrumada comprar agora um frango e esperar a mamãe ♥️",0.924428,positive,pt,BenvinJoao
1493,1289945933896192000,"@Vlad_junior Hahahahah eu mesmo.
Nada de comprar ""roupa boa"" pra academia. O q tenho de melhor, ganhei.",0.888449,positive,pt,gecosgui
1494,1289946165966905348,RT @s_m221b: Eu e a @MillenaStella escolhendo roupa pra nossa lojinha é assim: 'ai que linda vamos comprar essas' 'nossa essa vou comprar p…,0.840292,positive,pt,MillenaStella
1502,1289947206342987776,"RT @larisssslima: Cara doei muita roupa minha, dps da gravidez vou comprar bastante roupa p mim!!!",0.848839,positive,pt,jecatwitando
1512,1289949129515261952,RT @fuckbitch07: Comprar roupa nova todos os fins de semana e uma meta que vou realizar,0.855285,positive,pt,andre01_coelho
1533,1289953883125620736,to indo comprar roupa 🤩🤩🤩🤩,0.849737,positive,pt,ab_camargo45
